Season,Round,Date,Local.start.time,Venue,Attendance,First.name,Surname,ID,Jumper.No.,Playing.for,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50s,Clearances,Clangers,Frees.For,Frees.Against,Brownlow.Votes,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,Time.on.Ground,Substitute,Umpire.1,Umpire.2,Umpire.3,Umpire.4,Home.team,HQ1G,HQ1B,HQ2G,HQ2B,HQ3G,HQ3B,HQ4G,HQ4B,HQETG,HQETB,Home.score,Away.team,AQ1G,AQ1B,AQ2G,AQ2B,AQ3G,AQ3B,AQ4G,AQ4B,AQETG,AQETB,Away.score,HQ1P,HQ2P,HQ3P,HQ4P,HQETP,AQ1P,AQ2P,AQ3P,AQ4P,AQETP,Player,Team,url,Age,Career.Games,Coach,DOB,Home.Away
2026,1,2026-03-05,1930,S.C.G.,40372,Joel,Amartey,12844,36,Sydney,6,4,1,7,3,1,2,1,0,2,0,2,2,0,NA,3,4,0,3,3,0,0,75,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Joel Amartey,Sydney,https://afltables.com/afl/stats/players/J/Joel_Amartey.html,26.503764544832308,62,"Cox, Dean",2-Sep-1999,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Riley,Bice,13195,26,Sydney,11,5,5,16,0,0,0,3,1,1,0,5,1,2,NA,6,8,0,0,4,3,1,86,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Riley Bice,Sydney,https://afltables.com/afl/stats/players/R/Riley_Bice.html,25.438056125941138,17,"Cox, Dean",26-Sep-2000,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Nick,Blakey,12699,22,Sydney,12,3,9,21,0,0,0,1,4,5,0,6,0,2,NA,5,15,0,0,4,4,1,88,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Nick Blakey,Sydney,https://afltables.com/afl/stats/players/N/Nick_Blakey.html,26.016427104722794,152,"Cox, Dean",27-Feb-2000,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Charlie,Curnow,12421,35,Sydney,10,3,0,10,3,2,0,2,0,1,0,2,2,1,NA,4,6,1,2,2,0,0,77,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Charlie Curnow,Sydney,https://afltables.com/afl/stats/players/C/Charlie_Curnow.html,29.082135523613964,150,"Cox, Dean",3-Feb-1997,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Brodie,Grundy,12217,4,Sydney,5,2,11,16,1,0,46,4,2,3,3,5,1,2,NA,6,10,2,0,5,0,0,79,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Brodie Grundy,Sydney,https://afltables.com/afl/stats/players/B/Brodie_Grundy.html,31.8870636550308,243,"Cox, Dean",15-Apr-1994,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Errol,Gulden,12862,21,Sydney,16,3,11,27,0,2,0,11,2,8,5,6,1,0,NA,8,17,0,0,0,1,3,82,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Errol Gulden,Sydney,https://afltables.com/afl/stats/players/E/Errol_Gulden.html,23.629705681040384,104,"Cox, Dean",18-Jul-2002,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Isaac,Heeney,12326,5,Sydney,10,3,10,20,2,0,0,8,0,5,6,6,1,2,NA,10,8,0,1,1,0,0,77,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Isaac Heeney,Sydney,https://afltables.com/afl/stats/players/I/Isaac_Heeney.html,29.83230663928816,225,"Cox, Dean",5-May-1996,Home
2026,1,2026-03-05,1930,S.C.G.,40372,James,Jordon,12860,17,Sydney,7,4,9,16,0,0,0,2,3,1,1,3,0,1,NA,5,10,0,0,0,1,0,79,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,James Jordon,Sydney,https://afltables.com/afl/stats/players/J/James_Jordon.html,25.205338809034906,115,"Cox, Dean",20-Dec-2000,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Jake,Lloyd,12268,44,Sydney,8,6,10,18,0,0,0,0,2,2,0,2,0,0,NA,5,12,0,2,2,0,1,82,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Jake Lloyd,Sydney,https://afltables.com/afl/stats/players/J/Jake_Lloyd.html,32.45448323066393,272,"Cox, Dean",20-Sep-1993,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Tom,McCartin,12627,30,Sydney,3,4,14,17,0,0,0,0,3,0,2,3,0,0,NA,5,12,0,0,11,0,0,94,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Tom McCartin,Sydney,https://afltables.com/afl/stats/players/T/Tom_McCartin.html,26.177960301163587,153,"Cox, Dean",30-Dec-1999,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Logan,McDonald,12861,6,Sydney,4,2,7,11,1,0,0,2,0,1,2,4,2,1,NA,4,7,1,1,0,0,0,69,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Logan McDonald,Sydney,https://afltables.com/afl/stats/players/L/Logan_McDonald.html,23.917180013689254,71,"Cox, Dean",4-Apr-2002,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Justin,McInerney,12711,27,Sydney,16,5,15,31,3,1,0,3,0,6,2,3,1,1,NA,7,23,1,1,1,0,2,88,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Justin McInerney,Sydney,https://afltables.com/afl/stats/players/J/Justin_McInerney.html,25.54483230663929,110,"Cox, Dean",18-Aug-2000,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Lewis,Melican,12526,43,Sydney,4,1,3,7,0,0,0,1,0,2,0,1,2,0,NA,3,4,0,0,4,0,0,85,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Lewis Melican,Sydney,https://afltables.com/afl/stats/players/L/Lewis_Melican.html,29.331279945242983,102,"Cox, Dean",4-Nov-1996,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Callum,Mills,12413,14,Sydney,10,3,15,25,0,1,0,0,4,2,0,4,0,1,NA,5,17,0,0,3,1,1,72,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Callum Mills,Sydney,https://afltables.com/afl/stats/players/C/Callum_Mills.html,28.922655715263517,175,"Cox, Dean",2-Apr-1997,Home
2026,1,2026-03-05,1930,S.C.G.,40372,Tom,Papley,12412,11,Sydney,4,1,5,9,1,1,0,3,1,1,0,2,0,1,NA,4,6,0,1,1,0,1,57,NA,Brendan Hosking, Jamie Broadbent, Simon Meredith, Martin Rodger,Sydney,0,3,2,6,14,9,20,12,NA,NA,132,Carlton,2,2,4,4,8,6,10,9,NA,NA,69,3,18,93,132,NA,14,28,54,69,NA,Tom Papley,Sydney,https://afltables.com/afl/stats/players/T/Tom_Papley.html,29.643394934976044,197,"Cox, Dean",13-Jul-1996,Home
